epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,24186.8,0.40623,0.28194,0.95066,0.93372,0.91699,0.94365,0.90276,0.30355,0.27115,0.84771,0.001948,0.001948,0.001948
124,24383.2,0.40935,0.28437,0.95193,0.93053,0.91786,0.94446,0.9032,0.30292,0.27107,0.84768,0.001882,0.001882,0.001882
125,24579.5,0.40138,0.27924,0.95053,0.93045,0.91856,0.94422,0.90285,0.30209,0.27115,0.84735,0.001816,0.001816,0.001816
126,24775.7,0.40596,0.28155,0.9538,0.92811,0.92169,0.94375,0.90295,0.30227,0.27265,0.84759,0.00175,0.00175,0.00175
127,24972,0.39436,0.26864,0.94446,0.92743,0.92237,0.94372,0.90263,0.30173,0.27217,0.84696,0.001684,0.001684,0.001684
128,25168.5,0.40093,0.27532,0.94604,0.92675,0.92438,0.94381,0.90257,0.30109,0.27096,0.84666,0.001618,0.001618,0.001618
129,25364.9,0.39904,0.27152,0.94597,0.93616,0.91573,0.94307,0.90217,0.30087,0.27077,0.84652,0.001552,0.001552,0.001552
130,25561.2,0.39468,0.2713,0.94353,0.93552,0.91589,0.94275,0.90182,0.30022,0.27118,0.84616,0.001486,0.001486,0.001486
131,25757.6,0.39191,0.26528,0.94159,0.93236,0.9214,0.94282,0.90222,0.29976,0.27177,0.84598,0.00142,0.00142,0.00142
132,25953.8,0.38451,0.26645,0.94045,0.93281,0.92176,0.94243,0.90199,0.29933,0.27228,0.84584,0.001354,0.001354,0.001354
133,26150.3,0.38815,0.26771,0.94162,0.93249,0.92199,0.94212,0.90223,0.29874,0.27268,0.84561,0.001288,0.001288,0.001288
134,26346.5,0.38075,0.26084,0.93389,0.93226,0.92209,0.94211,0.90203,0.29803,0.2727,0.84485,0.001222,0.001222,0.001222
